layer_name,0,1,2,3,4,5,6,7,8,9
layer4.1.conv1,0.016387947,0.010403253,0.015153863,0.044931777,0.09936057,0.1152585,1.7053965,1.8577912,2.0644426,1.7890267
layer4.1.bn1,0.026154235,0.018786177,0.025199533,0.075930506,0.17079131,0.19830583,2.9153206,3.1696362,3.5213568,3.0614004
layer4.1.conv2,0.02596715,0.008040309,0.015849084,0.07462493,0.07726119,0.087754,1.8164046,2.0419195,1.7009104,1.2814847
layer4.1.bn2,0.031106398,0.011410706,0.019908883,0.09386836,0.09929672,0.11298017,2.3055725,3.4055843,2.8515546,2.2195764
layer4.1.conv3,0.007196307,0.0051248837,0.002904065,0.022218667,0.023979768,0.025744371,0.3459006,0.5368265,0.39094436,0.34671336
layer4.1.bn3,0.0025922153,0.003260077,0.0007103961,0.0092127435,0.009903522,0.009957163,0.15180247,0.23803613,0.16711436,0.15016977
layer4.1.relu,0.022913273,0.0022035427,0.01984628,0.035589628,0.10610871,0.1198231,0.99073124,1.0907085,1.167795,1.0095803
layer4.2,0.019241612,0.0010777004,0.016880352,0.0329443,0.09661119,0.10988918,0.9817036,1.0813744,1.1506773,0.9933729
layer4.2.conv1,0.012079209,0.00908193,0.011921138,0.03716427,0.09181866,0.10875301,1.025459,1.142043,1.1557995,0.99266547
layer4.2.bn1,0.022677407,0.019913524,0.023113042,0.07492539,0.18539828,0.21810684,2.0681417,2.3030555,2.331505,2.0085003
layer4.2.conv2,0.0031021908,0.02427587,0.0071310326,0.054788187,0.070662454,0.101845525,0.74431723,0.8389627,0.81998116,0.7079584
layer4.2.bn2,0.0012362003,0.04058516,0.007818252,0.079610795,0.10754225,0.15543664,1.1365509,1.2850573,1.2631087,1.0904655
layer4.2.conv3,0.0031371005,0.01584838,0.0016544648,0.021424636,0.022599004,0.030390609,0.16941524,0.19241151,0.18324637,0.17123157
layer4.2.bn3,0.0027194396,0.00794313,0.0013114009,0.008965338,0.007717166,0.010665825,0.06667366,0.077361956,0.071495146,0.0669091
layer4.2.relu,0.019241612,0.0010777004,0.016880352,0.0329443,0.09661119,0.10988918,0.9817036,1.0813744,1.1506773,0.9933729
flatten,0.011476669,0.005841188,0.0063133985,0.021417342,0.058001317,0.071507655,0.6972422,0.78369284,0.8940955,0.72659844
end_point,0.44822693,0.7080736,0.24737585,0.70044434,0.60368454,2.0950444,8.653898,11.674169,14.8295145,10.561597
